iter	RMSE
153	4.979404775
154	4.974820661
155	4.974121199
156	4.968066804
157	4.964376809
158	4.958802813
159	4.956192837
160	4.949609539
161	4.945930989
162	4.942411359
163	4.938142974
164	4.935487195
165	4.93332325
166	4.931246469
167	4.925668406
168	4.924056866
169	4.920959092
170	4.917748916
171	4.913585146
172	4.910185269
173	4.90412895
174	4.899643634
175	4.896890535
176	4.892489207
177	4.889308073
178	4.884652589
179	4.881391201
180	4.874781204
181	4.8681398
182	4.865889056
183	4.863513372
184	4.860360675
185	4.858406001
186	4.850845069
187	4.847409772
188	4.84234994
189	4.838303259
190	4.8361532
191	4.833629598
192	4.826383724
193	4.82283059
194	4.819984771
195	4.815528618
196	4.812798352
197	4.80805427
198	4.803913752
199	4.801063012
200	4.794339418
201	4.791576101
202	4.787014618
203	4.783686216
204	4.779433006
205	4.776626111
206	4.771598483
207	4.768085186
208	4.764935581
209	4.762296216
210	4.759296559
211	4.757214981
212	4.752252708
213	4.751274576
214	4.747822803
215	4.74689768
216	4.742958423
217	4.741129975
218	4.738571546
219	4.734052867
220	4.728327047
221	4.723103654
222	4.718707389
223	4.716477266
224	4.712876688
225	4.709217168
226	4.706314198
227	4.703498566
228	4.701260748
229	4.697608961
230	4.694137638
231	4.693031939
232	4.69014098
233	4.686136764
234	4.683777724
235	4.680657024
236	4.677334767
237	4.67641438
238	4.674407949
239	4.674037551
240	4.670447983
241	4.668040657
242	4.664190844
243	4.660520784
244	4.656159984
245	4.655741799
246	4.651811
247	4.647480954
248	4.644672178
249	4.639064257
250	4.633782276
251	4.631604116
252	4.629063807
253	4.624891605
254	4.621398712
255	4.61794464
256	4.615574532
257	4.614512399
258	4.611254438
259	4.611087052
260	4.60975211
261	4.606879543
262	4.600415169
263	4.597484536
264	4.594678321
265	4.593209486
266	4.590637282
267	4.585321495
268	4.581052378
269	4.578910315
270	4.578667001
271	4.578327796
272	4.575806964
273	4.575403002
274	4.571210824
275	4.566862419
276	4.561151241
277	4.560905099
278	4.557522865
279	4.553089473
280	4.549017015
281	4.546418058
282	4.545978107
283	4.543626744
284	4.536866709
285	4.530482125
286	4.527925434
287	4.523833915
288	4.52363948
289	4.52342846
290	4.521106791
291	4.518150046
292	4.515269827
293	4.513075289
294	4.507254214
295	4.507054856
296	4.502172478
297	4.50063794
298	4.497665861
299	4.495599825
300	4.491946982
301	4.491704087
302	4.487402651
303	4.48256101
304	4.478169826
305	4.475175737
306	4.473022563
307	4.47036818
308	4.470197133
309	4.46899246
310	4.465548601
311	4.463538463
312	4.460515536
313	4.457259981
314	4.456624763
315	4.452207952
316	4.449687489
317	4.449530968
318	4.449378009
319	4.447680654
320	4.445373672
321	4.445227032
322	4.440996077
323	4.436056592
324	4.431508743
325	4.42868521
326	4.42429354
327	4.418696893
328	4.413970834
329	4.409433423
330	4.405271426
331	4.401919705
332	4.40008045
333	4.397633005
334	4.392815145
335	4.39177739
336	4.388656625
337	4.383780341
338	4.38089634
339	4.377863546
340	4.375955826
341	4.374392296
342	4.371503814
343	4.368774533
344	4.366212784
345	4.364180682
346	4.358792549
347	4.354720201
348	4.349279169
349	4.344586623
350	4.341519117
351	4.336429056
352	4.334597057
353	4.330428188
354	4.326349404
355	4.32289471
356	4.322064178
357	4.320912894
358	4.319139235
359	4.316412062
360	4.316038963
361	4.314326325
362	4.310305093
363	4.308952556
364	4.307177901
365	4.303499113
366	4.302270027
367	4.301911345
368	4.298782937
369	4.297629026
370	4.295227554
371	4.291507884
372	4.291018556
373	4.287126415
374	4.283014017
375	4.281167834
376	4.27863739
377	4.273584493
378	4.273497153
379	4.267599151
380	4.265231235
381	4.263591657
382	4.262680144
383	4.262425255
384	4.260874863
385	4.2601033
386	4.257219842
387	4.252207159
388	4.250224818
389	4.246260671
390	4.244685353
391	4.240245128
392	4.237025116
393	4.232232083
394	4.230484568
395	4.226363861
396	4.223569143
397	4.220385987
398	4.219193166
399	4.218715154
400	4.216242643
401	4.212521292
402	4.209214984
403	4.207061686
404	4.20555969
405	4.200844193
406	4.199364482
407	4.198020141
408	4.197740813
409	4.194728051
410	4.192208373
411	4.190784208
412	4.187243509
413	4.184675014
414	4.184326772
415	4.181091346
416	4.180969644
417	4.178789406
418	4.173339951
419	4.167292505
420	4.167128097
421	4.16191822
422	4.161074162
423	4.160013876
424	4.159056977
425	4.156469996
426	4.154776509
427	4.1506008
428	4.147401695
429	4.142956091
430	4.140021496
431	4.133947138
432	4.128189315
433	4.124922117
434	4.122959056
435	4.117305038
436	4.117201461
437	4.114787286
438	4.110026378
439	4.107841771
440	4.106010054
441	4.10499861
442	4.104903619
443	4.104487303
444	4.102785851
445	4.099574462
446	4.096152804
447	4.09415312
448	4.094042693
449	4.089922695
450	4.084659367
451	4.082327077
452	4.080199832
453	4.078033951
454	4.075788296
455	4.071368628
456	4.069476093
457	4.066072439
458	4.063437098
459	4.060686932
460	4.059847579
461	4.056680407
462	4.052886869
463	4.051446902
464	4.046379428
465	4.042383405
466	4.03973029
467	4.037167127
468	4.036247778
469	4.033867503
470	4.032758499
471	4.028414177
472	4.026467205
473	4.026342911
474	4.024422337
475	4.019638814
476	4.01709044
477	4.016577683
478	4.014755463
479	4.012746473
480	4.009376996
481	4.007971147
482	4.004225587
483	3.999256437
484	3.996475511
485	3.993436491
486	3.990660396
487	3.987049746
488	3.984387683
489	3.983334853
490	3.980893028
491	3.979302952
492	3.979166481
493	3.977221988
494	3.974752771
495	3.971018126
496	3.967454352
497	3.965891174
498	3.964064959
499	3.961196036
500	3.961103064
501	3.959408314
502	3.95804486
503	3.956392706
504	3.956067106
505	3.955986052
506	3.952910583
507	3.951415992
508	3.951078113
509	3.947880977
510	3.944620955
511	3.942899514
512	3.941524358
513	3.936953329
514	3.935381499
515	3.933411837
516	3.931550664
517	3.928773828
518	3.925969835
519	3.921233614
520	3.919616342
521	3.917433575
522	3.912852028
523	3.91265013
524	3.91178606
525	3.909554972
526	3.907998588
527	3.90390887
528	3.90277699
529	3.900932162
530	3.900090757
531	3.898148023
532	3.895819347
533	3.893251623
534	3.891431895
535	3.888658061
536	3.887562328
537	3.882962542
538	3.882796388
539	3.879625994
540	3.875153845
541	3.871348102
542	3.868771807
543	3.86741735
544	3.865684852
545	3.864215034
546	3.863049371
547	3.858406569
548	3.857765121
549	3.856278815
550	3.855008999
551	3.851906492
552	3.848587183
553	3.846319528
554	3.846210723
555	3.844086993
556	3.84046921
557	3.839316969
558	3.838226735
559	3.835653926
560	3.832829285
561	3.830604317
562	3.826755927
563	3.82603672
564	3.824266342
565	3.8229541
566	3.820955012
567	3.818534971
568	3.816110285
569	3.812738916
570	3.810867287
571	3.807060249
572	3.804207887
573	3.802204992
574	3.796938175
575	3.795106326
576	3.791724946
577	3.790338249
578	3.789055499
579	3.785674834
580	3.784161293
581	3.783972242
582	3.783448207
583	3.780689758
584	3.778913304
585	3.776123349
586	3.77168595
587	3.769198082
588	3.765799876
589	3.76312133
590	3.758090078
591	3.756053176
592	3.755886361
593	3.753647367
594	3.751633628
595	3.747750297
596	3.745688009
597	3.745006847
598	3.744378327
599	3.743238935
600	3.7399455
601	3.737167526
602	3.734071841
603	3.731786871
604	3.728161234
605	3.726933321
606	3.724670814
607	3.724081703
608	3.720476091
609	3.71639115
610	3.713248014
611	3.710456473
612	3.710321148
613	3.708097839
614	3.705928279
615	3.704908225
616	3.702469623
617	3.69770178
618	3.696369212
619	3.693863922
620	3.691333527
621	3.690824592
622	3.688225691
623	3.686968728
624	3.683524844
625	3.679991231
626	3.678330804
627	3.678190389
628	3.677965108
629	3.675202036
630	3.673426462
631	3.670164457
632	3.670080097
633	3.668986116
634	3.667366025
635	3.66617195
636	3.663864709
637	3.661484731
638	3.657690522
639	3.656466009
640	3.653173458
641	3.651686017
642	3.647478117
643	3.646363727
644	3.643725684
645	3.642320102
646	3.639780593
647	3.636634462
648	3.634885886
649	3.633674978
650	3.632407312
651	3.6295411
652	3.628994772
653	3.628546224
654	3.628089626
655	3.625683161
656	3.623442237
657	3.620786141
658	3.617659396
659	3.615929998
660	3.615036738
661	3.612368753
662	3.611238808
663	3.611028067
664	3.609267181
665	3.607036883
666	3.606737432
667	3.603981602
668	3.601743338
669	3.600756019
670	3.598717258
671	3.597432671
672	3.594143438
673	3.591257204
674	3.590851427
675	3.589255029
676	3.587665534
677	3.585999953
678	3.58493561
679	3.583589721
680	3.581767883
681	3.578243421
682	3.575653304
683	3.573379494
684	3.570868085
685	3.569853816
686	3.565879287
687	3.564597746
688	3.564226404
689	3.564027691
690	3.561008673
691	3.559673123
692	3.556307078
693	3.554498577
694	3.553725574
695	3.551882685
696	3.548319888
697	3.545522633
698	3.544415886
699	3.542004461
700	3.541392112
701	3.539777155
702	3.539485115
703	3.538331042
704	3.536877143
705	3.536609922
706	3.53571857
707	3.533557196
708	3.53071181
709	3.529390926
710	3.529168628
711	3.5272947
712	3.526395805
713	3.525188161
714	3.521308855
715	3.521212644
716	3.51982989
717	3.516720918
718	3.516408885
719	3.514852474
720	3.514749634
721	3.51248333
722	3.511788957
723	3.511029576
724	3.509414543
725	3.508224875
726	3.506505343
727	3.506441326
728	3.503304674
729	3.500220642
730	3.499068863
731	3.498839965
732	3.498599351
733	3.497567154
734	3.494223201
735	3.492508547
736	3.490500895
737	3.489525595
738	3.489144326
739	3.48895976
740	3.488197901
741	3.488032627
742	3.487963096
743	3.48584898
744	3.48464924
745	3.483618473
746	3.482523554
747	3.481534097
748	3.478181984
749	3.476787649
750	3.476700367
751	3.473977506
752	3.472592397
753	3.472363993
754	3.472278212
755	3.470867725
756	3.470077548
757	3.469216819
758	3.468443159
759	3.466059315
760	3.46531891
761	3.462708163
762	3.462611819
763	3.46010685
764	3.458035756
765	3.455808495
766	3.454382844
767	3.452946479
768	3.451715755
769	3.4512851
770	3.449546122
771	3.448466124
772	3.447237975
773	3.444504455
774	3.443449296
775	3.441063307
776	3.438417292
777	3.436416266
778	3.434717354
779	3.431608149
780	3.431556841
781	3.431164427
782	3.428380146
783	3.428310625
784	3.42604465
785	3.42503561
786	3.423526111
787	3.421711175
788	3.418568922
789	3.415514862
790	3.411861484
791	3.410665611
792	3.409581008
793	3.407092855
794	3.403197065
795	3.401928703
796	3.400089763
797	3.398406313
798	3.396997052
799	3.394098699
800	3.391204907
801	3.391018552
802	3.388901966
803	3.38796511
804	3.384669569
805	3.381801252
806	3.38120512
807	3.378940921
808	3.377903842
809	3.376896191
810	3.375623911
811	3.37318151
812	3.371710584
813	3.369766652
814	3.367214452
815	3.366021337
816	3.363030861
817	3.360657778
818	3.360372812
819	3.359722722
820	3.355808069
821	3.355082697
822	3.352887638
823	3.351046801
824	3.348733259
825	3.345686185
826	3.343020177
827	3.339286516
828	3.33866871
829	3.33663048
830	3.33596772
831	3.334335152
832	3.3319991
833	3.331776041
834	3.330141126
835	3.329719917
836	3.328114917
837	3.325368226
838	3.324681343
839	3.324525966
840	3.322064443
841	3.320932252
842	3.319601668
843	3.318307707
844	3.316264991
845	3.31461045
846	3.313514342
847	3.3116914
848	3.310874221
849	3.308911067
850	3.308026012
851	3.307384044
852	3.306494932
853	3.305878326
854	3.305043461
855	3.303728809
856	3.30335191
857	3.303230131
858	3.300664653
859	3.299287358
860	3.298468913
861	3.298145958
862	3.295921615
863	3.295720216
864	3.29425104
865	3.29345208
866	3.290487327
867	3.289948532
868	3.289158994
869	3.286453265
870	3.285234188
871	3.283066839
872	3.282793035
873	3.281195551
874	3.280124423
875	3.279609954
876	3.278706725
877	3.277314912
878	3.275128923
879	3.273113714
880	3.27193242
881	3.270961666
882	3.27031358
883	3.269517838
884	3.268716179
885	3.268665474
886	3.268101772
887	3.267038395
888	3.265471993
889	3.263803344
890	3.262472396
891	3.262275117
892	3.260830947
893	3.258285997
894	3.257148274
895	3.256194541
896	3.253737429
897	3.251429315
898	3.249718715
899	3.249029798
900	3.248028915
901	3.247840402
902	3.246276594
903	3.244903379
904	3.241823646
905	3.238892188
906	3.237187059
907	3.235218983
908	3.232986624
909	3.231888153
910	3.229897068
911	3.228164871
912	3.225429531
913	3.224514031
914	3.222912851
915	3.221453164
916	3.218921459
917	3.218825692
918	3.217210397
919	3.214120348
920	3.212505052
921	3.210498167
922	3.209143442
923	3.208721272
924	3.20643589
925	3.205733192
926	3.204857967
927	3.20413503
928	3.202694278
929	3.199657086
930	3.197246048
931	3.196236405
932	3.195380595
933	3.192468705
934	3.191268636
935	3.189504651
936	3.186447183
937	3.184517357
938	3.183208888
939	3.181962406
940	3.181417149
941	3.179104424
942	3.176965106
943	3.176242365
944	3.174096253
945	3.172234448
946	3.170105087
947	3.16968949
948	3.166995566
949	3.166839221
950	3.165624156
951	3.16402804
952	3.160965725
953	3.158091421
954	3.156779802
955	3.155056849
956	3.15247207
957	3.149534005
958	3.147660774
959	3.147295377
960	3.144839138
961	3.143631613
962	3.142033705
963	3.140461798
964	3.138930409
965	3.137356556
966	3.135748679
967	3.135169577
968	3.132755351
969	3.131627732
970	3.130742416
971	3.128410595
972	3.127987788
973	3.127555115
974	3.125766919
975	3.123683051
976	3.123236453
977	3.120757485
978	3.118135073
979	3.117059248
980	3.11463373
981	3.112934617
982	3.111950786
983	3.111779382
984	3.110326852
985	3.10783933
986	3.106999118
987	3.105903941
988	3.10558861
989	3.104908817
990	3.104296427
991	3.103610226
992	3.100825078
993	3.099214495
994	3.098518713
995	3.097783138
996	3.095462024
997	3.095417083
998	3.095381996
999	3.09507876
